
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besy1(x) - besy0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
3.6192385e+00 9.0137069e-02  i
3.6312625e+00 9.4527551e-02  i
3.6432866e+00 9.8894014e-02  i
3.6553106e+00 1.0323612e-01  i
3.6673347e+00 1.0755352e-01  i
3.6793587e+00 1.1184588e-01  i
3.6913828e+00 1.1611287e-01  i
3.7034068e+00 1.2035414e-01  i
3.7154309e+00 1.2456935e-01  i
3.7274549e+00 1.2875818e-01  i
3.7394790e+00 1.3292028e-01  i
3.7515030e+00 1.3705531e-01  i
3.7635271e+00 1.4116296e-01  i
3.7755511e+00 1.4524288e-01  i
3.7875752e+00 1.4929475e-01  i
3.7995992e+00 1.5331823e-01  i
3.8116232e+00 1.5731300e-01  i
3.8236473e+00 1.6127873e-01  i
3.8356713e+00 1.6521510e-01  i
3.8476954e+00 1.6912178e-01  i
3.8597194e+00 1.7299846e-01  i
3.8717435e+00 1.7684481e-01  i
3.8837675e+00 1.8066052e-01  i
3.8957916e+00 1.8444527e-01  i
3.9078156e+00 1.8819875e-01  i
3.9198397e+00 1.9192065e-01  i
3.9318637e+00 1.9561065e-01  i
3.9438878e+00 1.9926846e-01  i
3.9559118e+00 2.0289376e-01  i
3.9679359e+00 2.0648626e-01  i
3.9799599e+00 2.1004565e-01  i
3.9919840e+00 2.1357164e-01  i
4.0040080e+00 2.1706393e-01  i
4.0160321e+00 2.2052223e-01  i
4.0280561e+00 2.2394626e-01  i
4.0400802e+00 2.2733572e-01  i
4.0521042e+00 2.3069033e-01  i
4.0641283e+00 2.3400981e-01  i
4.0761523e+00 2.3729389e-01  i
4.0881764e+00 2.4054228e-01  i
4.1002004e+00 2.4375472e-01  i
4.1122244e+00 2.4693093e-01  i
4.1242485e+00 2.5007065e-01  i
4.1362725e+00 2.5317362e-01  i
4.1482966e+00 2.5623958e-01  i
4.1603206e+00 2.5926827e-01  i
4.1723447e+00 2.6225945e-01  i
4.1843687e+00 2.6521285e-01  i
4.1963928e+00 2.6812823e-01  i
4.2084168e+00 2.7100536e-01  i
4.2204409e+00 2.7384398e-01  i
4.2324649e+00 2.7664388e-01  i
4.2444890e+00 2.7940481e-01  i
4.2565130e+00 2.8212655e-01  i
4.2685371e+00 2.8480887e-01  i
4.2805611e+00 2.8745156e-01  i
4.2925852e+00 2.9005439e-01  i
4.3046092e+00 2.9261716e-01  i
4.3166333e+00 2.9513965e-01  i
