
# Curve 0 of 1, 500 points
# Curve title: "2*1/x * besj1(x) - besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
3.7755511e+00 4.1418487e-01  i
3.7875752e+00 4.1180284e-01  i
3.7995992e+00 4.0938549e-01  i
3.8116232e+00 4.0693306e-01  i
3.8236473e+00 4.0444578e-01  i
3.8356713e+00 4.0192391e-01  i
3.8476954e+00 3.9936768e-01  i
3.8597194e+00 3.9677736e-01  i
3.8717435e+00 3.9415319e-01  i
3.8837675e+00 3.9149545e-01  i
3.8957916e+00 3.8880440e-01  i
3.9078156e+00 3.8608031e-01  i
3.9198397e+00 3.8332345e-01  i
3.9318637e+00 3.8053411e-01  i
3.9438878e+00 3.7771256e-01  i
3.9559118e+00 3.7485910e-01  i
3.9679359e+00 3.7197402e-01  i
3.9799599e+00 3.6905762e-01  i
3.9919840e+00 3.6611019e-01  i
4.0040080e+00 3.6313203e-01  i
4.0160321e+00 3.6012347e-01  i
4.0280561e+00 3.5708481e-01  i
4.0400802e+00 3.5401636e-01  i
4.0521042e+00 3.5091845e-01  i
4.0641283e+00 3.4779140e-01  i
4.0761523e+00 3.4463554e-01  i
4.0881764e+00 3.4145119e-01  i
4.1002004e+00 3.3823871e-01  i
4.1122244e+00 3.3499842e-01  i
4.1242485e+00 3.3173067e-01  i
4.1362725e+00 3.2843581e-01  i
4.1482966e+00 3.2511418e-01  i
4.1603206e+00 3.2176613e-01  i
4.1723447e+00 3.1839204e-01  i
4.1843687e+00 3.1499224e-01  i
4.1963928e+00 3.1156712e-01  i
4.2084168e+00 3.0811704e-01  i
4.2204409e+00 3.0464236e-01  i
4.2324649e+00 3.0114346e-01  i
4.2444890e+00 2.9762072e-01  i
4.2565130e+00 2.9407452e-01  i
4.2685371e+00 2.9050524e-01  i
4.2805611e+00 2.8691326e-01  i
4.2925852e+00 2.8329898e-01  i
4.3046092e+00 2.7966279e-01  i
4.3166333e+00 2.7600508e-01  i
4.3286573e+00 2.7232625e-01  i
4.3406814e+00 2.6862671e-01  i
4.3527054e+00 2.6490684e-01  i
4.3647295e+00 2.6116707e-01  i
4.3767535e+00 2.5740779e-01  i
4.3887776e+00 2.5362943e-01  i
4.4008016e+00 2.4983239e-01  i
4.4128257e+00 2.4601709e-01  i
4.4248497e+00 2.4218395e-01  i
4.4368737e+00 2.3833338e-01  i
4.4488978e+00 2.3446582e-01  i
4.4609218e+00 2.3058169e-01  i
4.4729459e+00 2.2668141e-01  i
4.4849699e+00 2.2276542e-01  i
4.4969940e+00 2.1883414e-01  i
4.5090180e+00 2.1488802e-01  i
4.5210421e+00 2.1092748e-01  i
4.5330661e+00 2.0695296e-01  i
4.5450902e+00 2.0296492e-01  i
4.5571142e+00 1.9896377e-01  i
4.5691383e+00 1.9494998e-01  i
4.5811623e+00 1.9092398e-01  i
4.5931864e+00 1.8688622e-01  i
4.6052104e+00 1.8283715e-01  i
4.6172345e+00 1.7877721e-01  i
4.6292585e+00 1.7470687e-01  i
4.6412826e+00 1.7062657e-01  i
4.6533066e+00 1.6653676e-01  i
4.6653307e+00 1.6243790e-01  i
4.6773547e+00 1.5833045e-01  i
4.6893788e+00 1.5421487e-01  i
4.7014028e+00 1.5009160e-01  i
4.7134269e+00 1.4596112e-01  i
4.7254509e+00 1.4182388e-01  i
4.7374749e+00 1.3768034e-01  i
4.7494990e+00 1.3353098e-01  i
4.7615230e+00 1.2937624e-01  i
4.7735471e+00 1.2521659e-01  i
4.7855711e+00 1.2105250e-01  i
4.7975952e+00 1.1688444e-01  i
4.8096192e+00 1.1271286e-01  i
4.8216433e+00 1.0853824e-01  i
4.8336673e+00 1.0436104e-01  i
4.8456914e+00 1.0018173e-01  i
4.8577154e+00 9.6000772e-02  i
4.8697395e+00 9.1818641e-02  i
4.8817635e+00 8.7635802e-02  i
4.8937876e+00 8.3452722e-02  i
4.9058116e+00 7.9269869e-02  i
4.9178357e+00 7.5087712e-02  i
4.9298597e+00 7.0906718e-02  i
4.9418838e+00 6.6727356e-02  i
4.9539078e+00 6.2550094e-02  i
4.9659319e+00 5.8375397e-02  i
4.9779559e+00 5.4203735e-02  i
4.9899800e+00 5.0035574e-02  i
5.0020040e+00 4.5871379e-02  i
5.0140281e+00 4.1711618e-02  i
5.0260521e+00 3.7556755e-02  i
5.0380762e+00 3.3407256e-02  i
5.0501002e+00 2.9263585e-02  i
5.0621242e+00 2.5126205e-02  i
5.0741483e+00 2.0995579e-02  i
5.0861723e+00 1.6872169e-02  i
5.0981964e+00 1.2756435e-02  i
5.1102204e+00 8.6488389e-03  i
5.1222445e+00 4.5498385e-03  i
5.1342685e+00 4.5989207e-04  i
5.1462926e+00 -3.6205435e-03  i
5.1583166e+00 -7.6910124e-03  i
5.1703407e+00 -1.1751060e-02  i
5.1823647e+00 -1.5800234e-02  i
5.1943888e+00 -1.9838082e-02  i
5.2064128e+00 -2.3864154e-02  i
5.2184369e+00 -2.7878001e-02  i
5.2304609e+00 -3.1879175e-02  i
5.2424850e+00 -3.5867231e-02  i
5.2545090e+00 -3.9841725e-02  i
5.2665331e+00 -4.3802214e-02  i
