
# Curve 0 of 1, 500 points
# Curve title: "besy1(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
4.6172345e+00 2.6883906e-01  i
4.6292585e+00 2.6538189e-01  i
4.6412826e+00 2.6189716e-01  i
4.6533066e+00 2.5838539e-01  i
4.6653307e+00 2.5484709e-01  i
4.6773547e+00 2.5128280e-01  i
4.6893788e+00 2.4769303e-01  i
4.7014028e+00 2.4407831e-01  i
4.7134269e+00 2.4043918e-01  i
4.7254509e+00 2.3677617e-01  i
4.7374749e+00 2.3308981e-01  i
4.7494990e+00 2.2938063e-01  i
4.7615230e+00 2.2564918e-01  i
4.7735471e+00 2.2189600e-01  i
4.7855711e+00 2.1812163e-01  i
4.7975952e+00 2.1432660e-01  i
4.8096192e+00 2.1051147e-01  i
4.8216433e+00 2.0667679e-01  i
4.8336673e+00 2.0282310e-01  i
4.8456914e+00 1.9895094e-01  i
4.8577154e+00 1.9506088e-01  i
4.8697395e+00 1.9115347e-01  i
4.8817635e+00 1.8722925e-01  i
4.8937876e+00 1.8328878e-01  i
4.9058116e+00 1.7933263e-01  i
4.9178357e+00 1.7536133e-01  i
4.9298597e+00 1.7137546e-01  i
4.9418838e+00 1.6737558e-01  i
4.9539078e+00 1.6336223e-01  i
4.9659319e+00 1.5933598e-01  i
4.9779559e+00 1.5529740e-01  i
4.9899800e+00 1.5124704e-01  i
5.0020040e+00 1.4718546e-01  i
5.0140281e+00 1.4311323e-01  i
5.0260521e+00 1.3903091e-01  i
5.0380762e+00 1.3493906e-01  i
5.0501002e+00 1.3083825e-01  i
5.0621242e+00 1.2672904e-01  i
5.0741483e+00 1.2261199e-01  i
5.0861723e+00 1.1848767e-01  i
5.0981964e+00 1.1435664e-01  i
5.1102204e+00 1.1021946e-01  i
5.1222445e+00 1.0607670e-01  i
5.1342685e+00 1.0192892e-01  i
5.1462926e+00 9.7776675e-02  i
5.1583166e+00 9.3620536e-02  i
5.1703407e+00 8.9461064e-02  i
5.1823647e+00 8.5298817e-02  i
5.1943888e+00 8.1134357e-02  i
5.2064128e+00 7.6968244e-02  i
5.2184369e+00 7.2801037e-02  i
5.2304609e+00 6.8633293e-02  i
5.2424850e+00 6.4465570e-02  i
5.2545090e+00 6.0298424e-02  i
5.2665331e+00 5.6132411e-02  i
5.2785571e+00 5.1968085e-02  i
5.2905812e+00 4.7805998e-02  i
5.3026052e+00 4.3646703e-02  i
5.3146293e+00 3.9490750e-02  i
5.3266533e+00 3.5338688e-02  i
5.3386774e+00 3.1191064e-02  i
5.3507014e+00 2.7048425e-02  i
5.3627255e+00 2.2911315e-02  i
5.3747495e+00 1.8780277e-02  i
5.3867735e+00 1.4655852e-02  i
5.3987976e+00 1.0538580e-02  i
5.4108216e+00 6.4289975e-03  i
5.4228457e+00 2.3276407e-03  i
5.4348697e+00 -1.7649570e-03  i
5.4468938e+00 -5.8482639e-03  i
5.4589178e+00 -9.9217507e-03  i
5.4709419e+00 -1.3984890e-02  i
5.4829659e+00 -1.8037157e-02  i
5.4949900e+00 -2.2078029e-02  i
5.5070140e+00 -2.6106986e-02  i
5.5190381e+00 -3.0123509e-02  i
5.5310621e+00 -3.4127084e-02  i
5.5430862e+00 -3.8117197e-02  i
5.5551102e+00 -4.2093338e-02  i
5.5671343e+00 -4.6055001e-02  i
5.5791583e+00 -5.0001679e-02  i
5.5911824e+00 -5.3932871e-02  i
5.6032064e+00 -5.7848079e-02  i
5.6152305e+00 -6.1746805e-02  i
5.6272545e+00 -6.5628557e-02  i
5.6392786e+00 -6.9492844e-02  i
5.6513026e+00 -7.3339181e-02  i
5.6633267e+00 -7.7167082e-02  i
5.6753507e+00 -8.0976067e-02  i
5.6873747e+00 -8.4765659e-02  i
5.6993988e+00 -8.8535384e-02  i
5.7114228e+00 -9.2284772e-02  i
5.7234469e+00 -9.6013354e-02  i
5.7354709e+00 -9.9720669e-02  i
5.7474950e+00 -1.0340625e-01  i
5.7595190e+00 -1.0706966e-01  i
5.7715431e+00 -1.1071042e-01  i
5.7835671e+00 -1.1432810e-01  i
5.7955912e+00 -1.1792224e-01  i
5.8076152e+00 -1.2149242e-01  i
5.8196393e+00 -1.2503818e-01  i
5.8316633e+00 -1.2855910e-01  i
5.8436874e+00 -1.3205474e-01  i
5.8557114e+00 -1.3552469e-01  i
5.8677355e+00 -1.3896851e-01  i
5.8797595e+00 -1.4238580e-01  i
5.8917836e+00 -1.4577613e-01  i
5.9038076e+00 -1.4913911e-01  i
5.9158317e+00 -1.5247432e-01  i
5.9278557e+00 -1.5578137e-01  i
5.9398798e+00 -1.5905986e-01  i
5.9519038e+00 -1.6230939e-01  i
5.9639279e+00 -1.6552959e-01  i
5.9759519e+00 -1.6872006e-01  i
5.9879760e+00 -1.7188044e-01  i
6.0000000e+00 -1.7501034e-01  i

